               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.015961,            0.012114,            0.014397,             0.59367,             0.60476,              0.6025,             0.31869,            0.011146,           0.0045397,            0.011055,            0.002872,            0.002872,            0.002872
                  38,            0.015754,            0.012293,            0.014033,             0.67102,             0.74489,             0.69432,             0.42006,           0.0095816,           0.0043204,           0.0094254,            0.002674,            0.002674,            0.002674
                  39,            0.016572,            0.011961,            0.013612,             0.61469,             0.76203,             0.71671,             0.39672,            0.010421,           0.0041334,           0.0093658,            0.002476,            0.002476,            0.002476
                  40,            0.015481,            0.012056,            0.013918,             0.72321,             0.74309,              0.7473,             0.45992,           0.0095454,           0.0040458,           0.0098923,            0.002278,            0.002278,            0.002278
                  41,            0.015313,            0.011354,            0.013213,             0.70324,             0.75356,             0.72183,             0.41721,           0.0096743,           0.0040399,            0.010075,             0.00208,             0.00208,             0.00208
                  42,            0.014108,             0.01169,            0.011796,             0.65338,             0.74362,             0.71134,             0.41728,           0.0097037,           0.0041318,             0.01035,            0.001882,            0.001882,            0.001882
                  43,            0.013816,            0.011159,            0.011057,             0.63876,             0.71301,             0.68717,             0.38588,            0.010039,           0.0043262,            0.011243,            0.001684,            0.001684,            0.001684
                  44,            0.015235,            0.011474,            0.010646,             0.71815,              0.6616,             0.70742,              0.3962,           0.0097256,           0.0044195,            0.011842,            0.001486,            0.001486,            0.001486
                  45,            0.014237,             0.01132,            0.012922,             0.69781,             0.68851,             0.70759,             0.40603,            0.010075,           0.0044748,            0.010867,            0.001288,            0.001288,            0.001288
                  46,            0.014122,            0.011172,            0.011509,             0.65818,             0.74775,             0.69446,             0.40361,            0.010204,           0.0043185,            0.011119,             0.00109,             0.00109,             0.00109
                  47,             0.01362,            0.011541,            0.012528,              0.7021,              0.7053,             0.71553,             0.41627,            0.010076,           0.0042402,            0.010583,            0.000892,            0.000892,            0.000892
                  48,             0.01399,            0.011453,            0.011109,             0.67785,             0.72992,             0.71296,             0.43225,           0.0095486,           0.0041524,             0.01078,            0.000694,            0.000694,            0.000694
                  49,            0.013772,              0.0112,            0.010608,             0.66514,             0.71793,               0.717,             0.44518,           0.0094524,           0.0040952,             0.01068,            0.000496,            0.000496,            0.000496
