               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.019083,            0.013708,            0.021694,             0.47954,             0.66766,             0.66408,             0.41667,           0.0096075,           0.0046561,            0.014259,            0.008218,            0.008218,            0.008218
                  20,            0.020319,            0.013967,            0.021449,             0.58395,              0.6253,             0.68414,             0.33337,            0.012417,           0.0049554,            0.010867,            0.008119,            0.008119,            0.008119
                  21,            0.020906,            0.013747,            0.022553,             0.58716,             0.62669,             0.63518,             0.35717,            0.011592,           0.0048833,            0.010583,             0.00802,             0.00802,             0.00802
                  22,            0.021087,            0.014136,            0.020366,             0.48333,             0.71153,             0.62094,             0.31252,            0.012586,           0.0045874,            0.012254,            0.007921,            0.007921,            0.007921
                  23,            0.019346,            0.013234,            0.019716,             0.50696,             0.72892,             0.61195,              0.3288,            0.012111,           0.0044867,            0.011989,            0.007822,            0.007822,            0.007822
                  24,            0.020034,            0.012971,            0.018914,             0.65733,             0.65853,             0.67832,             0.32733,             0.01349,           0.0045837,           0.0094231,            0.007723,            0.007723,            0.007723
                  25,            0.020224,             0.01288,            0.019079,             0.69741,             0.62934,             0.65253,              0.3286,            0.011627,           0.0045737,            0.013957,            0.007624,            0.007624,            0.007624
                  26,             0.02029,            0.012721,            0.019895,             0.72199,             0.61874,             0.74374,             0.42698,            0.010174,           0.0044189,            0.011755,            0.007525,            0.007525,            0.007525
                  27,             0.02037,            0.013046,            0.018747,             0.65117,             0.73546,             0.71451,             0.39665,           0.0098692,           0.0044291,            0.011357,            0.007426,            0.007426,            0.007426
                  28,            0.018715,              0.0129,            0.019591,             0.63195,             0.65867,              0.6918,             0.39695,           0.0097827,           0.0045438,            0.013426,            0.007327,            0.007327,            0.007327
                  29,            0.017821,            0.012896,            0.016154,              0.7517,              0.6498,             0.70187,             0.39504,            0.011259,           0.0046569,           0.0095329,            0.007228,            0.007228,            0.007228
                  30,            0.022903,            0.013177,            0.019589,             0.58356,             0.72537,             0.73074,             0.42221,           0.0092894,           0.0043989,            0.010689,            0.007129,            0.007129,            0.007129
                  31,            0.019694,            0.013168,            0.017746,             0.64422,             0.63175,             0.70574,             0.43113,           0.0099443,           0.0040298,           0.0098465,             0.00703,             0.00703,             0.00703
                  32,            0.021515,            0.012323,            0.018449,             0.60688,             0.72956,             0.70997,             0.42323,            0.010209,           0.0044932,            0.010107,            0.006931,            0.006931,            0.006931
                  33,            0.018191,            0.012078,            0.016978,             0.57419,             0.68996,             0.66302,             0.36092,            0.011174,           0.0050555,            0.010886,            0.006832,            0.006832,            0.006832
                  34,            0.017952,            0.012741,            0.017329,             0.75546,             0.63657,             0.74801,             0.41686,            0.011011,           0.0049857,           0.0092308,            0.006733,            0.006733,            0.006733
                  35,            0.016813,            0.012511,            0.015221,             0.63714,              0.7111,             0.75365,             0.37881,            0.012043,           0.0051745,           0.0086563,            0.006634,            0.006634,            0.006634
                  36,            0.016999,            0.012384,            0.014438,              0.6542,             0.71599,             0.73671,             0.44282,           0.0093043,           0.0048895,            0.012776,            0.006535,            0.006535,            0.006535
                  37,            0.018222,            0.012459,            0.016002,             0.65551,             0.75161,             0.74318,             0.42827,           0.0099476,           0.0050883,           0.0086838,            0.006436,            0.006436,            0.006436
                  38,            0.018478,             0.01271,            0.016679,             0.71622,             0.65456,             0.78317,             0.47668,           0.0097262,           0.0043359,            0.010501,            0.006337,            0.006337,            0.006337
                  39,            0.018662,            0.012222,            0.015156,             0.72575,              0.7158,             0.76975,             0.39355,            0.011406,           0.0044764,           0.0077065,            0.006238,            0.006238,            0.006238
                  40,            0.017638,            0.012498,            0.015099,             0.70717,             0.73288,             0.76899,             0.52848,           0.0081001,           0.0047426,           0.0089149,            0.006139,            0.006139,            0.006139
                  41,            0.017366,            0.011766,            0.014598,             0.70605,             0.60999,             0.69495,              0.3892,            0.010805,           0.0044721,            0.011971,             0.00604,             0.00604,             0.00604
                  42,            0.016831,            0.012199,            0.013292,             0.74967,             0.74371,             0.78441,             0.45573,            0.009991,           0.0048223,           0.0095833,            0.005941,            0.005941,            0.005941
                  43,            0.016298,            0.011608,             0.01351,             0.74454,             0.55601,              0.6688,             0.33956,            0.011538,           0.0050815,            0.012859,            0.005842,            0.005842,            0.005842
                  44,            0.016929,            0.011926,              0.0129,             0.82827,             0.58851,             0.75905,             0.43047,             0.01038,           0.0046104,            0.010396,            0.005743,            0.005743,            0.005743
                  45,            0.016511,            0.011913,            0.015006,             0.58806,             0.61356,             0.71442,             0.40951,            0.010226,           0.0051562,            0.011142,            0.005644,            0.005644,            0.005644
                  46,            0.016689,            0.011772,             0.01313,             0.55286,             0.60978,              0.6525,             0.40669,           0.0095086,           0.0046806,            0.014905,            0.005545,            0.005545,            0.005545
                  47,            0.016011,            0.012092,            0.013331,             0.72695,             0.64312,             0.73754,             0.42284,            0.010123,           0.0043043,            0.010016,            0.005446,            0.005446,            0.005446
                  48,            0.017321,            0.012108,            0.013449,             0.74661,              0.5968,             0.75899,             0.47389,           0.0097397,           0.0045035,           0.0096863,            0.005347,            0.005347,            0.005347
                  49,            0.016448,            0.011741,            0.012027,             0.66321,             0.66772,             0.75077,             0.45047,           0.0094227,           0.0047243,           0.0089516,            0.005248,            0.005248,            0.005248
                  50,            0.017016,            0.011807,             0.01318,             0.60233,             0.81729,              0.7305,             0.41461,            0.011285,           0.0047243,            0.008448,            0.005149,            0.005149,            0.005149
                  51,            0.019961,            0.011933,            0.015382,             0.66291,             0.67626,             0.70283,             0.43106,            0.010019,           0.0046872,           0.0096016,             0.00505,             0.00505,             0.00505
                  52,            0.015794,            0.011426,            0.012286,             0.74498,             0.72885,             0.77063,             0.41951,            0.010167,           0.0048366,            0.008416,            0.004951,            0.004951,            0.004951
                  53,            0.015582,            0.011603,              0.0119,             0.76809,              0.6132,             0.73975,             0.43528,           0.0096202,           0.0045823,            0.010606,            0.004852,            0.004852,            0.004852
                  54,            0.016505,            0.011519,            0.013355,             0.74581,             0.63083,             0.73605,             0.43802,           0.0089244,           0.0051307,            0.010297,            0.004753,            0.004753,            0.004753
                  55,             0.01549,            0.011952,            0.011698,             0.69494,             0.70043,             0.74726,             0.40435,            0.010893,           0.0051241,           0.0087639,            0.004654,            0.004654,            0.004654
                  56,            0.016794,            0.011439,            0.012257,             0.63469,             0.68029,             0.69191,             0.38585,            0.010317,           0.0051468,             0.01132,            0.004555,            0.004555,            0.004555
                  57,             0.01575,            0.011389,            0.011017,             0.78068,             0.58142,             0.73199,             0.43494,            0.010288,           0.0045486,            0.010082,            0.004456,            0.004456,            0.004456
                  58,            0.015866,            0.011205,            0.011832,             0.71069,             0.66215,             0.71593,             0.42348,            0.010488,           0.0044093,            0.010311,            0.004357,            0.004357,            0.004357
                  59,             0.01507,            0.011561,            0.011933,             0.74196,             0.69417,             0.72333,             0.42361,            0.010272,           0.0044635,            0.010327,            0.004258,            0.004258,            0.004258
                  60,            0.014711,            0.011178,            0.011863,             0.71678,             0.71597,             0.74605,             0.49165,           0.0087815,           0.0042589,           0.0093132,            0.004159,            0.004159,            0.004159
                  61,            0.014871,            0.011049,           0.0090523,             0.77927,             0.65514,              0.7635,             0.50115,           0.0086793,           0.0041771,           0.0090065,             0.00406,             0.00406,             0.00406
                  62,            0.018752,            0.011342,            0.011697,             0.79578,             0.64403,             0.77144,             0.46893,            0.008942,           0.0044183,           0.0098511,            0.003961,            0.003961,            0.003961
                  63,            0.015955,            0.011274,           0.0095025,             0.75802,             0.66917,             0.74561,              0.4214,            0.010239,           0.0045485,            0.010094,            0.003862,            0.003862,            0.003862
                  64,            0.016102,            0.011037,           0.0094534,             0.62754,             0.77663,             0.73128,             0.44442,           0.0099444,           0.0049181,           0.0096588,            0.003763,            0.003763,            0.003763
                  65,            0.013212,             0.01081,            0.008862,             0.65908,             0.71846,             0.72509,             0.43143,             0.01033,           0.0047387,            0.010304,            0.003664,            0.003664,            0.003664
                  66,            0.013776,            0.010679,           0.0085802,             0.68268,             0.69581,             0.72461,             0.43122,            0.010511,           0.0047466,            0.011037,            0.003565,            0.003565,            0.003565
                  67,            0.014878,            0.011105,             0.01156,             0.65121,             0.76589,             0.74134,             0.46655,           0.0095936,           0.0047556,            0.011421,            0.003466,            0.003466,            0.003466
                  68,            0.013422,            0.010592,           0.0097664,             0.76513,             0.60688,             0.73945,               0.433,            0.010653,           0.0046237,               0.011,            0.003367,            0.003367,            0.003367
                  69,            0.015397,            0.010964,            0.010728,             0.69319,             0.65442,             0.71348,             0.44419,           0.0095066,           0.0046696,            0.012057,            0.003268,            0.003268,            0.003268
                  70,            0.013641,            0.010765,           0.0093809,             0.65667,             0.65525,             0.73519,             0.44949,           0.0096151,           0.0045161,            0.011938,            0.003169,            0.003169,            0.003169
                  71,            0.015488,            0.010424,            0.010413,             0.75585,              0.6015,             0.73018,             0.45174,            0.010153,           0.0044241,            0.010451,             0.00307,             0.00307,             0.00307
                  72,            0.013531,            0.010671,           0.0077928,             0.62749,             0.75566,             0.71516,             0.44482,           0.0094838,           0.0044112,             0.01284,            0.002971,            0.002971,            0.002971
                  73,            0.013981,           0.0099547,           0.0065598,             0.58211,             0.72058,             0.69532,             0.42129,            0.010021,           0.0046644,            0.011778,            0.002872,            0.002872,            0.002872
                  74,            0.016131,            0.010618,           0.0097678,             0.61702,             0.73637,             0.70277,             0.43432,            0.010546,           0.0048226,            0.010151,            0.002773,            0.002773,            0.002773
                  75,            0.015238,            0.010556,           0.0087606,             0.64617,             0.70373,             0.72251,             0.43156,            0.010046,           0.0046608,            0.010616,            0.002674,            0.002674,            0.002674
                  76,            0.013756,            0.010336,           0.0085135,             0.67365,             0.62169,             0.70684,             0.43192,            0.010383,           0.0045305,            0.012456,            0.002575,            0.002575,            0.002575
                  77,            0.012866,            0.010527,           0.0077148,             0.63304,              0.6903,             0.71977,             0.43627,           0.0097293,           0.0048394,            0.013797,            0.002476,            0.002476,            0.002476
                  78,            0.013226,            0.010524,           0.0078143,             0.66675,             0.71877,             0.74421,             0.44683,           0.0095571,           0.0046508,            0.011623,            0.002377,            0.002377,            0.002377
                  79,            0.012161,             0.01052,           0.0069474,              0.5787,             0.74258,              0.7369,              0.4508,           0.0094591,           0.0045328,            0.013152,            0.002278,            0.002278,            0.002278
                  80,            0.012342,           0.0099185,           0.0067815,             0.68252,             0.61915,             0.73125,             0.46069,           0.0089763,           0.0044931,            0.014035,            0.002179,            0.002179,            0.002179
                  81,            0.015365,            0.010179,           0.0086973,             0.71443,             0.64709,             0.73022,             0.44863,           0.0094249,           0.0045081,            0.013362,             0.00208,             0.00208,             0.00208
                  82,            0.012697,            0.010136,           0.0070043,               0.768,             0.70523,             0.76768,             0.47925,           0.0096849,           0.0046301,            0.010705,            0.001981,            0.001981,            0.001981
                  83,            0.014516,             0.01025,           0.0083048,             0.72388,             0.66558,             0.76409,             0.46636,           0.0097293,           0.0047161,            0.011714,            0.001882,            0.001882,            0.001882
                  84,            0.012369,            0.010033,           0.0065206,             0.58069,             0.74264,             0.73003,             0.47289,           0.0096396,           0.0046204,            0.012589,            0.001783,            0.001783,            0.001783
                  85,            0.013614,             0.01005,           0.0085578,             0.65644,               0.801,             0.76272,             0.46066,             0.01009,           0.0048342,            0.010744,            0.001684,            0.001684,            0.001684
                  86,            0.013062,           0.0098866,           0.0078485,             0.70299,              0.7082,             0.75427,             0.46645,           0.0096972,           0.0050837,            0.011398,            0.001585,            0.001585,            0.001585
                  87,             0.01276,            0.010003,           0.0077508,             0.82026,             0.68676,              0.7758,             0.49139,           0.0095019,           0.0047863,            0.011398,            0.001486,            0.001486,            0.001486
                  88,            0.012416,            0.010031,           0.0071773,             0.66394,             0.77812,             0.72462,             0.46548,           0.0093158,           0.0047672,             0.01306,            0.001387,            0.001387,            0.001387
                  89,            0.011597,           0.0097364,           0.0058342,             0.62352,             0.72508,             0.71839,              0.4313,           0.0095134,            0.004708,            0.013646,            0.001288,            0.001288,            0.001288
                  90,            0.013047,           0.0098596,           0.0066613,             0.64214,             0.69618,             0.72732,             0.44714,           0.0097403,            0.004809,            0.012419,            0.001189,            0.001189,            0.001189
                  91,            0.012635,            0.009552,           0.0075258,             0.66447,             0.76138,             0.72188,             0.45657,           0.0095371,           0.0047918,            0.011641,             0.00109,             0.00109,             0.00109
                  92,              0.0143,           0.0099287,           0.0071422,             0.73975,             0.69941,             0.74585,             0.47319,           0.0093239,           0.0047249,            0.010831,            0.000991,            0.000991,            0.000991
                  93,            0.011466,           0.0094298,           0.0060146,             0.77808,             0.73252,             0.76725,             0.47723,           0.0093554,           0.0048051,           0.0099449,            0.000892,            0.000892,            0.000892
                  94,            0.012395,           0.0099782,           0.0070367,             0.80062,             0.73519,             0.77259,             0.46024,           0.0098907,           0.0048776,           0.0099609,            0.000793,            0.000793,            0.000793
                  95,            0.012351,           0.0095611,           0.0066221,             0.77872,             0.70379,             0.77666,             0.47956,           0.0095623,            0.004828,            0.010574,            0.000694,            0.000694,            0.000694
                  96,            0.013525,           0.0092973,           0.0061504,             0.77079,             0.71665,              0.7703,             0.46792,           0.0094116,           0.0047936,            0.011137,            0.000595,            0.000595,            0.000595
                  97,             0.01201,           0.0094498,           0.0060966,             0.70634,              0.7189,             0.75418,             0.46365,           0.0092933,           0.0046772,            0.011929,            0.000496,            0.000496,            0.000496
                  98,            0.013199,           0.0095681,           0.0054703,             0.73748,             0.70829,             0.76143,             0.48683,           0.0091566,           0.0046505,             0.01192,            0.000397,            0.000397,            0.000397
                  99,            0.011153,           0.0090666,           0.0060413,             0.75634,             0.68785,              0.7585,             0.47886,           0.0093012,           0.0046467,            0.011705,            0.000298,            0.000298,            0.000298
