               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058555,             0.02814,            0.037483,             0.29149,             0.10846,             0.15188,            0.065597,            0.020353,            0.010649,             0.01805,            0.070769,           0.0032479,           0.0032479
                   1,            0.043548,              0.0219,            0.036935,             0.10344,             0.33874,             0.16216,            0.090489,            0.019711,           0.0060592,            0.016356,            0.040704,            0.006516,            0.006516
                   2,            0.037794,            0.018951,            0.036774,             0.11703,             0.43113,             0.19315,            0.091399,            0.021418,           0.0056676,            0.015848,            0.010573,           0.0097182,           0.0097182
                   3,            0.033106,            0.017712,            0.034176,              0.2649,             0.58631,             0.28904,             0.14381,            0.011868,           0.0067039,            0.015793,            0.009703,            0.009703,            0.009703
                   4,            0.029493,            0.016277,             0.03291,             0.19581,             0.51939,             0.30854,             0.12872,            0.011531,           0.0064788,            0.015312,            0.009703,            0.009703,            0.009703
                   5,            0.029227,            0.016251,              0.0327,              0.4353,             0.51721,             0.37863,             0.16068,            0.016397,            0.004786,            0.015189,            0.009604,            0.009604,            0.009604
                   6,            0.027126,            0.016694,            0.032833,             0.23859,             0.54398,             0.36167,             0.16754,            0.010835,            0.006141,            0.015518,            0.009505,            0.009505,            0.009505
                   7,            0.024556,            0.016137,            0.030464,             0.31167,             0.52357,             0.41643,              0.1918,            0.013904,           0.0047466,            0.013463,            0.009406,            0.009406,            0.009406
                   8,            0.024798,            0.015987,            0.029612,             0.34815,             0.59152,             0.49045,             0.25146,           0.0097154,           0.0053668,            0.013889,            0.009307,            0.009307,            0.009307
                   9,            0.022823,            0.015384,             0.02839,             0.42114,             0.60712,             0.48256,              0.2161,            0.012324,           0.0049951,            0.012849,            0.009208,            0.009208,            0.009208
                  10,            0.022385,            0.014735,            0.027054,             0.43741,             0.63455,                0.58,             0.31083,            0.010215,           0.0053102,            0.011852,            0.009109,            0.009109,            0.009109
                  11,            0.020959,            0.014555,            0.026503,              0.4887,               0.624,             0.51864,             0.28108,            0.012555,           0.0049262,            0.012817,             0.00901,             0.00901,             0.00901
                  12,            0.023585,            0.015112,             0.02832,             0.52382,             0.49601,             0.52968,             0.33274,           0.0093147,           0.0050549,            0.014777,            0.008911,            0.008911,            0.008911
                  13,            0.023539,            0.014441,            0.027356,             0.46001,             0.66528,             0.57204,             0.28929,            0.010149,           0.0051429,            0.013028,            0.008812,            0.008812,            0.008812
                  14,            0.023802,            0.014552,            0.025055,             0.51365,             0.65368,             0.57495,             0.33839,            0.009908,           0.0048875,            0.012698,            0.008713,            0.008713,            0.008713
                  15,            0.022516,            0.014034,             0.02414,              0.4853,             0.69938,             0.62968,             0.32457,             0.01282,           0.0045099,            0.011247,            0.008614,            0.008614,            0.008614
                  16,             0.02441,            0.014058,            0.024613,             0.46738,             0.70183,             0.63035,             0.36851,           0.0096643,           0.0049745,            0.014337,            0.008515,            0.008515,            0.008515
                  17,            0.020592,            0.013561,            0.022904,             0.59092,              0.6639,             0.68046,             0.47411,           0.0085476,           0.0045576,            0.011165,            0.008416,            0.008416,            0.008416
                  18,            0.021247,             0.01366,            0.022877,             0.52923,             0.79593,             0.67091,             0.38623,           0.0099001,           0.0045901,            0.011458,            0.008317,            0.008317,            0.008317
